Name,Review Date,Verified,Type of Traveller,Month Flown,Route,Class,Sentiment,Origin,Destiny,Scale,Scale_bool,Or_country,Dst_country,Or_continent,Dst_continent,Or_lat,Dst_lat,Or_long,Dst_long,distance_km,Rev,year,month,day,Reviews_Simp,polarity,review_len,word_count
Alison Soetantyo,2024-03-01,True,Solo Leisure,December 2023,Jakarta to Singapore,Business Class,2,Jakarta,Singapore,None,False, Indonesia,Singapore,Special Region of Jakarta,Singapore,-6.175247,1.357107,106.8270488,103.8194992,897.4819585028106,"  Flight was amazing. The crew onboard this flight were very welcoming, and gave a good atmosphere. The crew serving my aisle goes by the initial “G”. She was very kind & helpful. Gave my mom a bday cake for a late celebration even though it was just a 1hr 45min flight. Seat is well sanitized, legroom is spacious. IFE onboard has many variety of shows, music, etc. Bathroom always kept clean by crew at all times. & Food was delicious, overall this flight is a 9/10Flight was amazing",2024,03,01,amazing crew onboard welcoming gave good atmosphere crew serving aisle goes initial “g” kind helpful gave mom bday cake late celebration even though seat well sanitized legroom spacious ife onboard many variety shows music etc bathroom always kept clean crew times food delicious overall amazing,0.4066666666666666,295,45
Robert Watson,2024-02-21,True,Solo Leisure,February 2024,Phuket to Singapore,Economy Class,0,Phuket,Singapore,None,False, Thailand,Singapore,Phuket Province,Singapore,7.9366015,1.357107,98.3529292,103.8194992,947.0272440201518,  Booking an emergency exit seat still meant huge discomfort in a seat far too narrow and poor padding meaning back ache in 90 minute flight. The seats on this aircraft are dreadful. The headphones and sound on the entertainment system was dreadful.seats on this aircraft are dreadful ,2024,02,21,booking emergency exit seat still meant huge discomfort seat far narrow poor padding meaning back ache minute seats aircraft dreadful headphones sound entertainment system dreadfulseats aircraft dreadful,-0.21249999999999997,203,27
S Han,2024-02-20,True,Family Leisure,February 2024,Siem Reap to Singapore,Economy Class,2,Siem Reap,Singapore,None,False, Cambodia,Singapore,Siem Reap,Singapore,13.3617562,1.357107,103.8590321,103.8194992,1327.678373627286,  Excellent performance on all fronts. I would definitely choose to use this airline again. The aircraft is well-maintained and the staff well-trained on hospitality. Food was plentiful and tasty.Food was plentiful and tasty,2024,02,20,excellent performance fronts would definitely choose use aircraft wellmaintained staff welltrained hospitality food plentiful tastyfood plentiful tasty,0.5,151,17
D Laynes,2024-02-19,True,Solo Leisure,February 2024,Singapore to London Heathrow,Economy Class,2,Singapore,London Heathrow,None,False,Singapore, United Kingdom,Singapore,Heathrow Airport,1.357107,51.46773895,103.8194992,-0.4587800741571181,10875.322842038131," Pretty comfortable flight considering I was flying in economy class in one of the older aircraft in their fleet which is still kept in relatively good condition. The economy class cabin was in a 3-3-3 configuration and the flight was almost full. What amazed me most was how much food was available for economy passengers - 2 full meals and the rear galley was stocked with snacks. The crew came round regularly with trays of drinks and juice through the flight. I disembarked with a very full stomach! The timing of main meals and the lighting/dimming of the cabin were done sensitively. The cabin crew seemed willing to please, it makes interactions pleasant and the whole experience that bit more enjoyable. Eye-masks were not handed out but were provided upon request. The economy class toilets were stocked with complimentary toothbrushes. Wifi was supposedly free but didn't seem to work for the duration of the flight. However, there was a diverse choice of movies and TV programmes.“how much food was available",2024,02,19,pretty comfortable considering flying economy class one older aircraft fleet still kept relatively good condition economy class cabin configuration almost full amazed much food available economy passengers full meals rear galley stocked snacks crew came round regularly trays drinks juice disembarked full stomach timing main meals lightingdimming cabin done sensitively cabin crew seemed willing please makes interactions pleasant whole experience bit enjoyable eyemasks not handed but provided upon request economy class toilets stocked complimentary toothbrushes wifi supposedly free but didnt seem work duration however diverse choice movies tv programmes“how much food available,0.2960317460317461,683,92
A Othman ,2024-02-19,True,Family Leisure,February 2024,Singapore to Phnom Penh,Economy Class,2,Singapore,Phnom Penh,None,False,Singapore, Cambodia,Singapore,Phnom Penh,1.357107,11.568271,103.8194992,104.9224426,1135.8184706382772," The service was consistently good from start to finish. The cabin crew showcased the friendly Singaporean culture at its finest. It seemed like they really cared for the passengers, which is what I liked the most. The seat was comfortable and wide range of movies was provided (too many to choose from even!) “service was consistently good”",2024,02,19,service consistently good start finish cabin crew showcased friendly singaporean culture finest seemed like really cared passengers liked seat comfortable wide range movies provided many choose even “service consistently good”,0.421875,226,30
Robert Watson,2024-02-19,True,Solo Leisure,February 2024,Singapore to Cairns,Economy Class,0,Singapore,Cairns,None,False,Singapore, Australia,Singapore,Cairns,1.357107,-16.9206657,103.8194992,145.7721854,5028.759990260027," This flight was over six hours long on a B737 MAX8. I booked an emergency exit row seat by the window. The seat is absolutely dreadful. Lacks padding, and within a few hours, developed back ache that lasted for several days after the flight. The left and right armrests effectively reduce the working seat width to 12 inches. The B737 MAX is not fit for purpose for long haul flights and I would recommend that you do fly on this aircraft unless its for a flight duration of no more than 2 hours. Most passengers I spoke to by the end of the flight were also having back aches too. The flight also run out of wine and beer before they had completed serving the lunch so inflight service also very poor indeed. The sound on the entertainment system was also poor and the earphones kept falling out of your ears. “seat is absolutely dreadful”",2024,02,19,six hours long booked emergency exit row seat window seat absolutely dreadful lacks padding within hours developed back ache lasted several days left right armrests effectively reduce working seat width inches max not fit purpose long haul flights would recommend fly aircraft unless duration no hours passengers spoke end also back aches also run wine beer completed serving lunch inflight service also poor indeed sound entertainment system also poor earphones kept falling ears “seat absolutely dreadful”,-0.05714285714285715,507,76
S Holger,2024-02-19,True,Solo Leisure,February 2024,Singapore to Frankfurt,Economy Class,1,Singapore,Frankfurt,None,False,Singapore, Germany,Singapore,Frankfurt,1.357107,50.1106444,103.8194992,8.6820917,10260.83044153216,"  Boarding process went smoothly, and plane left on time. I had a window seat in the first part of economy section. The plane has 3-4-3 layout. We were 3 adults on this row, and it was very narrow. When the passenger in front of me, reclined his seat, i could hardly look at my screen, and could not fold out the table. The crew told people to raise up the seat backs during the meal times. We had two meals, dinner and breakfast, both meals were ok. I wanted to charge my phone during the flight, usb charger wad not working. I remember many years ago, when travelling with Singapore Airlines, the drink trolley came before the meal, and again when you got the meal, and they showed up again shortly after the meal also. Now you just get drinks along with the meal, and they do not ask if you want a refill. Very ordinary service and not very friendly staff either.Very ordinary service",2024,02,19,boarding process went smoothly left time window seat first part economy section layout adults row narrow passenger front reclined seat could hardly look screen could not fold table crew told people raise seat backs meal times two meals dinner breakfast meals ok wanted charge phone usb charger wad not working remember many years ago travelling drink trolley came meal got meal showed shortly meal also get drinks along meal not ask if want refill ordinary service not friendly staff eithervery ordinary service,0.00708333333333333,511,82
A Jabil,2024-02-19,True,Family Leisure,February 2024,Singapore to Bandar Seri Begawan,Economy Class,2,Singapore,Bandar Seri Begawan,None,False,Singapore, Brunei,Singapore,Bandar Seri Begawan,1.357107,4.8895453,103.8194992,114.9417574,1296.3436776663025,  Pleasant flight which operated on time. Check-in at Changi was smooth and assistance given to me since I didn’t know how to use the check-in kiosk and bag drop. Lunch was provided onboard and advanced special meal requests were catered for appropriately. I like flying this airline.I like flying this airline,2024,02,19,pleasant operated time checkin changi smooth assistance given since didn’t know use checkin kiosk bag drop lunch provided onboard advanced special meal requests catered appropriately like flying airlinei like flying,0.4780952380952381,215,30
A Kalarsan,2024-02-18,True,Business,February 2024,Singapore to Jakarta,Economy Class,0,Singapore,Jakarta,None,False,Singapore, Indonesia,Singapore,Special Region of Jakarta,1.357107,-6.175247,103.8194992,106.8270488,897.4819585028106,"  I embarked on a journey with high hopes and anticipation, having secured a connecting flight ticket from Penang to Singapore, and then onwards to Jakarta. Opting for Singapore Airlines, renowned for its outstanding reputation in both air travel and service, I anticipated nothing less than a seamless experience. The cost of this connecting flight amounted to MYR 1601, roughly USD 335, a price I was more than willing to pay for quality service. My journey commenced with a minor delay in takeoff from Penang. The flight proceeded smoothly, accompanied by a light snack comprising a slice of pizza and a beverage of choice. As we approached Changi Airport, the situation took an unexpected turn. The captain announced a delay in landing, estimating an additional 15 to 20 minutes before touchdown. A sense of unease crept over me as my connecting flight departure time loomed closer. Despite my concerns, I remained optimistic, trusting in the efficiency of Singapore Airlines to navigate any challenges seamlessly. Upon landing at 12:05 pm and disembarking at 12:18 pm, I was met with a startling realization. Rather than a smooth transition to my connecting flight, I was handed a new ticket, rescheduled for departure at 4:10 pm, accompanied by a SGD 15 food voucher for Burger King and Coffee Bean.  I sought clarity from the attendant, only to be met with dismissiveness. The absence of any acknowledgment or attempt at redress left me deeply disappointed. The disregard for my time and the indifferent handling of the situation underscored a gap in the airline's commitment to customer service. In retrospect, my expectation for exemplary hospitality and proactive problem-solving from a reputed airline like Singapore Airlines was regrettably unmet. As I reflect on this experience, I am reminded of the importance of genuine care and consideration in customer service, particularly in moments of inconvenience or distress.left me deeply disappointed",2024,02,18,embarked journey high hopes anticipation secured connecting ticket penang onwards jakarta opting renowned outstanding reputation air travel service anticipated nothing less seamless experience cost connecting amounted myr roughly usd price willing pay quality service journey commenced minor delay takeoff penang proceeded smoothly accompanied light snack comprising slice pizza beverage choice approached changi airport situation took unexpected turn captain announced delay landing estimating additional minutes touchdown sense unease crept connecting departure time loomed closer despite concerns remained optimistic trusting efficiency navigate challenges seamlessly upon landing pm disembarking pm met startling realization rather smooth transition connecting handed new ticket rescheduled departure pm accompanied sgd food voucher burger king coffee bean sought clarity attendant met dismissiveness absence acknowledgment attempt redress left deeply disappointed disregard time indifferent handling situation underscored gap commitment customer service retrospect expectation exemplary hospitality proactive problemsolving reputed like regrettably unmet reflect experience reminded importance genuine care consideration customer service particularly moments inconvenience distressleft deeply disappointed,0.046850649350649344,1310,155
S Dayle,2024-02-17,True,Family Leisure,February 2024,Siem Reap to Singapore,Economy Class,2,Siem Reap,Singapore,None,False, Cambodia,Singapore,Siem Reap,Singapore,13.3617562,1.357107,103.8590321,103.8194992,1327.678373627286,"  No queue at check-in, and boarding at the gate was done in an orderly fashion by zones. Pleasant greeting from crew on boarding. The flight was full but cabin crew worked hard to serve lunch to everyone satisfactorily. Great inflight entertainment options for a short-haul flight— far better than any equivalent flights available within Europe for example. Flight landed on time, disembarkation was quick and luggage delivered to the belt quickly as well. I can’t fault a single aspect of the flight.can’t fault a single aspect ",2024,02,17,no queue checkin boarding gate done orderly fashion zones pleasant greeting crew boarding full but cabin crew worked hard serve lunch everyone satisfactorily great inflight entertainment options shorthaul flight— far better equivalent flights available within europe example landed time disembarkation quick luggage delivered belt quickly well can’t fault single aspect flightcan’t fault single aspect,0.2832251082251082,401,54
